estimand,metric_scale,stage,contrast_type,selection_method,target,grouping,equal_group_estimate,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,confidence_level,bootstrap_samples,n_groups_total,n_groups_eligible,leave_one_group_out_min,leave_one_group_out_min_omitted,leave_one_group_out_max,leave_one_group_out_max_omitted,max_absolute_leave_one_out_change
selector_effect::correct_answer_margin::vision.late::logit_concept::target_0,correct_answer_margin,vision.late,selector_effect_by_target,logit_concept,0,attribute_id,0.035776022951422064,0.014186455819390402,0.05651043354797281,0.95,10000,26,26,0.03145706386947895,101,0.04081817498059006,102,0.0050421520291679955
selector_effect::correct_answer_margin::vision.late::logit_concept::target_0,correct_answer_margin,vision.late,selector_effect_by_target,logit_concept,0,class_id,0.032556225542879194,-0.017135809681402932,0.07878557434620259,0.95,10000,20,20,0.019132040532465425,56,0.0505139349386197,99,0.017957709395740505
selector_effect::correct_answer_margin::vision.late::logit_concept::target_1,correct_answer_margin,vision.late,selector_effect_by_target,logit_concept,1,attribute_id,-0.03154486446775849,-0.0675340074830564,0.002479219079720099,0.95,10000,26,26,-0.03863999237980216,311,-0.02294554793535772,2,0.008599316532400772
selector_effect::correct_answer_margin::vision.late::logit_concept::target_1,correct_answer_margin,vision.late,selector_effect_by_target,logit_concept,1,class_id,-0.006393345424107141,-0.028565107396040002,0.01851642814515127,0.95,10000,20,20,-0.015695937434732663,131,-0.002133997102130324,123,0.009302592010625523
selector_target_difference::correct_answer_margin::vision.late::logit_concept,correct_answer_margin,vision.late,selector_target_difference,logit_concept,,attribute_id,-0.06732088741918056,-0.11241539348136446,-0.02360090362791303,0.95,10000,26,26,-0.07673572812428112,311,-0.056550181249281115,294,0.010770706169899447
selector_target_difference::correct_answer_margin::vision.late::logit_concept,correct_answer_margin,vision.late,selector_target_difference,logit_concept,,class_id,-0.038949570966986334,-0.09561962212456596,0.020961728911761453,0.95,10000,20,20,-0.058766622321138495,99,-0.022816068854137662,56,0.01981705135415216
selector_difference::correct_answer_margin::vision.late::target_0,correct_answer_margin,vision.late,selector_difference_by_target,vision_cls_attention_minus_logit_concept,0,attribute_id,-0.12657654916373212,-0.21570747072126992,-0.0366196709046644,0.95,10000,26,26,-0.14735141668583698,102,-0.10779933335250363,101,0.020774867522104862
selector_difference::correct_answer_margin::vision.late::target_0,correct_answer_margin,vision.late,selector_difference_by_target,vision_cls_attention_minus_logit_concept,0,class_id,-0.07651908430472884,-0.13745898276031332,-0.014060980902777779,0.95,10000,20,20,-0.09136838134833611,67,-0.06538436749425647,130,0.014849297043607268
selector_difference::correct_answer_margin::vision.late::target_1,correct_answer_margin,vision.late,selector_difference_by_target,vision_cls_attention_minus_logit_concept,1,attribute_id,0.14516525333448171,0.043795447354166746,0.2561718107603116,0.95,10000,26,26,0.11326353013452764,2,0.16249192519625605,117,0.031901723199954074
selector_difference::correct_answer_margin::vision.late::target_1,correct_answer_margin,vision.late,selector_difference_by_target,vision_cls_attention_minus_logit_concept,1,class_id,0.08248542906746031,0.02932445126488096,0.13612735324435762,0.95,10000,20,20,0.06934001670843776,56,0.09328350172305765,67,0.013145412359022557
