stage,pooling,control,seed,attribute_id,attribute_name,attribute_group,train_observed,train_positive,train_negative,train_prevalence,validation_observed,validation_positive,validation_negative,threshold_selected_on_train,auroc,f1,train_loss
vision.early,mean,primary,2,2,has_bill_shape::dagger,has_bill_shape,160,14,146,0.08749999850988388,76,4,72,8.174589157104492,0.6145833333333334,0.14285714285714285,0.01194954477250576
vision.early,mean,primary,2,5,has_bill_shape::hooked_seabird,has_bill_shape,160,15,145,0.09375,76,3,73,5.833155155181885,0.5296803652968036,0.0,0.01194954477250576
vision.early,mean,primary,2,7,has_bill_shape::all-purpose,has_bill_shape,160,66,94,0.4124999940395355,76,34,42,3.908573865890503,0.5175070028011205,0.3076923076923077,0.01194954477250576
vision.early,mean,primary,2,8,has_bill_shape::cone,has_bill_shape,160,44,116,0.2750000059604645,76,21,55,5.06508207321167,0.5229437229437229,0.3,0.01194954477250576
vision.early,mean,primary,2,96,has_head_pattern::malar,has_head_pattern,156,16,140,0.10256410390138626,76,10,66,11.4210844039917,0.4681818181818182,0.0,0.01194954477250576
vision.early,mean,primary,2,100,has_head_pattern::eyebrow,has_head_pattern,156,30,126,0.19230769574642181,76,14,62,5.039458751678467,0.5967741935483871,0.21428571428571427,0.01194954477250576
vision.early,mean,primary,2,101,has_head_pattern::eyering,has_head_pattern,156,25,131,0.16025641560554504,76,16,60,6.871462345123291,0.4322916666666667,0.21621621621621623,0.01194954477250576
vision.early,mean,primary,2,102,has_head_pattern::plain,has_head_pattern,156,37,119,0.2371794879436493,76,13,63,4.3664164543151855,0.6752136752136753,0.42424242424242425,0.01194954477250576
vision.early,mean,primary,2,103,has_head_pattern::eyeline,has_head_pattern,156,18,138,0.11538461595773697,76,7,69,5.105175971984863,0.422360248447205,0.07142857142857142,0.01194954477250576
vision.early,mean,primary,2,104,has_head_pattern::striped,has_head_pattern,156,15,141,0.09615384787321091,76,14,62,9.744227409362793,0.5518433179723502,0.16666666666666666,0.01194954477250576
vision.early,mean,primary,2,105,has_head_pattern::capped,has_head_pattern,156,16,140,0.10256410390138626,76,9,67,4.220716953277588,0.4527363184079602,0.16,0.01194954477250576
vision.early,mean,primary,2,107,has_breast_color::brown,has_breast_color,145,29,116,0.20000000298023224,75,14,61,4.733736515045166,0.5925058548009368,0.22857142857142856,0.01194954477250576
vision.early,mean,primary,2,111,has_breast_color::grey,has_breast_color,145,40,105,0.27586206793785095,75,19,56,4.546886444091797,0.518796992481203,0.15384615384615385,0.01194954477250576
vision.early,mean,primary,2,117,has_breast_color::black,has_breast_color,145,50,95,0.3448275923728943,75,30,45,4.903867721557617,0.5259259259259259,0.34782608695652173,0.01194954477250576
vision.early,mean,primary,2,118,has_breast_color::white,has_breast_color,145,51,94,0.35172414779663086,75,41,34,4.061552047729492,0.5466284074605452,0.32727272727272727,0.01194954477250576
vision.early,mean,primary,2,120,has_breast_color::buff,has_breast_color,145,52,93,0.35862070322036743,75,26,49,3.81013822555542,0.46938775510204084,0.24390243902439024,0.01194954477250576
vision.early,mean,primary,2,294,has_crown_color::blue,has_crown_color,155,11,144,0.07096774131059647,75,4,71,11.52643871307373,0.795774647887324,0.0,0.01194954477250576
vision.early,mean,primary,2,295,has_crown_color::brown,has_crown_color,155,60,95,0.3870967626571655,75,33,42,4.8063859939575195,0.5591630591630592,0.41509433962264153,0.01194954477250576
vision.early,mean,primary,2,299,has_crown_color::grey,has_crown_color,155,36,119,0.23225806653499603,75,18,57,3.9404678344726562,0.4171539961013645,0.13333333333333333,0.01194954477250576
vision.early,mean,primary,2,305,has_crown_color::black,has_crown_color,155,45,110,0.29032257199287415,75,24,51,4.342687129974365,0.565359477124183,0.41025641025641024,0.01194954477250576
